stocks,std,rendimiento,riesgo,coeficiente_variacion,beta,alfa,Riesgo_sistematico,Riesgo_no_sistematico,sharpie,teynor
GL,0.0260885840435503,-0.0670267931965702,0.5851059317344919,-8.72943346727845,1.3025140873845402,-0.0012410313735706,0.6504947704789227,0.3495052295210773,-0.2439332528615288,-0.1095779267026331
GLW,0.0256314882690071,0.1181386139965696,0.5748543424336103,4.865930985531134,1.3053192320217335,-0.0005083479214098,0.6768084838567574,0.3231915161432426,0.0738249863729103,0.0325120575530316
GM,0.0323164914246288,0.222795513227755,0.7247833302808833,3.2531325239928237,1.2971375749611629,-8.691804013426176e-05,0.4204396256699159,0.5795603743300841,0.202951015955002,0.1134000865190873
GNRC,0.0305086089175768,0.6196962826888787,0.6842367533954037,1.104148552298042,1.168745152969261,0.0015841985936403,0.3829788599293614,0.6170211400706386,0.7950410146625323,0.4654532951917074
GOOG,0.0201209868214592,0.3865668680740699,0.4512666813167981,1.1673703014566967,1.0084764130137207,0.0007790578159815,0.6555606920311932,0.3444393079688068,0.6888761810797976,0.3082539800262442
GOOGL,0.0203281580994485,0.3850350644000596,0.455913048610407,1.1840818947770009,1.0205084961916768,0.0007639721049778,0.6576838207410043,0.3423161792589957,0.6784957468159609,0.3031185585954777
GPC,0.0251516279706409,0.1225294339640286,0.5640921980984012,4.603728099029685,1.1172541268307536,-0.0003501399402576,0.5149341584949777,0.4850658415050223,0.0830173402892193,0.0419147558638846
GPN,0.0283159505586197,-0.1523765674123618,0.6350605539530954,-4.167704816676261,1.3789743291768517,-0.0016369585031711,0.6189136204814989,0.3810863795185011,-0.3591414487841221,-0.1653958036684461
GPS,0.0479034996498436,-0.0184994560324562,1.0743634744291124,-58.07540894954981,1.6014120378524257,-0.0012722152838737,0.2916430696387911,0.708356930361209,-0.0876793173581327,-0.0588227475539539
GRMN,0.0194680913849233,0.1581808263648179,0.4366237634764944,2.760282478670921,0.9423832804319896,-7.775918922570504e-05,0.6114885937123156,0.3885114062876844,0.1889059489297776,0.0875236520824188
GS,0.0258649115003274,0.2555173938015426,0.5800894796500322,2.2702543690649133,1.261519172202121,6.959435486555217e-05,0.6207913900888793,0.3792086099111207,0.3099821667340466,0.1425403575021785
GWW,0.0214283259035668,0.1978302572615596,0.4805872397055767,2.42929087975745,1.0169231644212344,2.3779837982935786e-05,0.5877325757461266,0.4122674242538734,0.2541271327478035,0.1200978220720029
HAL,0.0477546978791295,-0.0388266173324982,1.0710261986861258,-27.584844425519027,1.9186590449352776,-0.0015903672937015,0.4212533572902596,0.5787466427097404,-0.1069316674727406,-0.0596909688747547
HAS,0.0267159534126062,-0.034783272634146,0.5991763595741311,-17.22599152403883,1.0464482604146126,-0.000921391985044,0.4003816213301548,0.5996183786698451,-0.1843919087740257,-0.1055792979104112
HBAN,0.0323072733233386,0.0026333492913024,0.7245765898255488,275.1539995923528,1.2856318535022615,-0.0009519643261762,0.4132497549818598,0.5867502450181401,-0.1008404794395708,-0.0568332610223157
HBI,0.0341430842220628,0.049669668576467,0.7657495352254707,15.41684406543986,1.0427984731052389,-0.0005835290632245,0.2434306409488807,0.7565693590511192,-0.0339932709405673,-0.0249619961045972
HCA,0.0295247932043135,0.2658236918555509,0.6621720676078184,2.4910197544304817,1.1886245956657495,0.0001650606827883,0.4229564620019446,0.5770435379980554,0.2871212803378993,0.1599526819054778
HD,0.0218236279449897,0.2939656065066502,0.4894529400777093,1.665000698190986,1.0897881729860166,0.0003507231336985,0.6507441171823964,0.3492558828176035,0.4459378800993548,0.2002825979553467
HES,0.0412384460280528,0.042966639300174,0.9248819079735212,21.525581777809045,1.5065939237443169,-0.0009573220956496,0.3483114955877245,0.6516885044122755,-0.0353919353569656,-0.0217267308622048
HIG,0.0319778144825798,0.0624418461361517,0.7171875984694621,11.48568857022045,1.2053917567687458,-0.000654561901498,0.3707992483570502,0.6292007516429498,-0.0184863122175317,-0.0109990414231709
